
Date:2/2/2010
Time:13:38:55
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(0.09973395526,0.0000000000)	(0.9997339553,0.0000000000)
(0.09893607842,0.0000000000)	(0.9989360784,0.0000000000)
(0.09760714138,0.0000000000)	(0.9976071414,0.0000000000)
(0.09574842980,0.0000000000)	(0.9957484298,0.0000000000)
(0.09336174186,0.0000000000)	(0.9933617419,0.0000000000)
(0.09044938652,0.0000000000)	(0.9904493865,0.0000000000)
(0.08701418131,0.0000000000)	(0.9870141813,0.0000000000)
(0.08305944956,0.0000000000)	(0.9830594496,0.0000000000)
(0.07858901722,0.0000000000)	(0.9785890172,0.0000000000)
(0.07360720914,0.0000000000)	(0.9736072091,0.0000000000)
(0.06811884491,0.0000000000)	(0.9681188449,0.0000000000)
(0.06212923415,0.0000000000)	(0.9621292342,0.0000000000)
(0.05564417144,0.0000000000)	(0.9556441714,0.0000000000)
(0.04866993065,0.0000000000)	(0.9486699306,0.0000000000)
(0.04121325890,0.0000000000)	(0.9412132589,0.0000000000)
(0.03328137005,0.0000000000)	(0.9332813701,0.0000000000)
(0.02488193769,0.0000000000)	(0.9248819377,0.0000000000)
(0.01602308773,0.0000000000)	(0.9160230877,0.0000000000)
(0.006713390521,0.0000000000)	(0.9067133905,0.0000000000)
(-0.003038147394,0.0000000000)	(0.8969618526,0.0000000000)
(-0.01322209204,0.0000000000)	(0.8867779080,0.0000000000)
(-0.02382859109,0.0000000000)	(0.8761714089,0.0000000000)
(-0.03484738347,0.0000000000)	(0.8651526165,0.0000000000)
(-0.04626780918,0.0000000000)	(0.8537321908,0.0000000000)
(-0.05807881972,0.0000000000)	(0.8419211803,0.0000000000)
(-0.07026898869,0.0000000000)	(0.8297310113,0.0000000000)
(-0.08282652288,0.0000000000)	(0.8171734771,0.0000000000)
(-0.09573927370,0.0000000000)	(0.8042607263,0.0000000000)
(-0.1089947489,0.0000000000)	(0.7910052511,0.0000000000)
(-0.1225801246,0.0000000000)	(0.7774198754,0.0000000000)
(-0.1364822580,0.0000000000)	(0.7635177420,0.0000000000)
(-0.1506876995,0.0000000000)	(0.7493123005,0.0000000000)
(-0.1651827063,0.0000000000)	(0.7348172937,0.0000000000)
(-0.1799532555,0.0000000000)	(0.7200467445,0.0000000000)
(-0.1949850574,0.0000000000)	(0.7050149426,0.0000000000)
(-0.2102635698,0.0000000000)	(0.6897364302,0.0000000000)
(-0.2257740118,0.0000000000)	(0.6742259882,0.0000000000)
(-0.2415013779,0.0000000000)	(0.6584986221,0.0000000000)
(-0.2574304529,0.0000000000)	(0.6425695471,0.0000000000)
(-0.2735458266,0.0000000000)	(0.6264541734,0.0000000000)
(-0.2898319083,0.0000000000)	(0.6101680917,0.0000000000)
(-0.3062729422,0.0000000000)	(0.5937270578,0.0000000000)
(-0.3228530228,0.0000000000)	(0.5771469772,0.0000000000)
(-0.3395561099,0.0000000000)	(0.5604438901,0.0000000000)
(-0.3563660444,0.0000000000)	(0.5436339556,0.0000000000)
(-0.3732665636,0.0000000000)	(0.5267334364,0.0000000000)
(-0.3902413175,0.0000000000)	(0.5097586825,0.0000000000)
(-0.4072738840,0.0000000000)	(0.4927261160,0.0000000000)
(-0.4243477853,0.0000000000)	(0.4756522147,0.0000000000)
(-0.4414465034,0.0000000000)	(0.4585534966,0.0000000000)
(-0.4585534966,0.0000000000)	(0.4414465034,0.0000000000)
(-0.4756522147,0.0000000000)	(0.4243477853,0.0000000000)
(-0.4927261160,0.0000000000)	(0.4072738840,0.0000000000)
(-0.5097586825,0.0000000000)	(0.3902413175,0.0000000000)
(-0.5267334364,0.0000000000)	(0.3732665636,0.0000000000)
(-0.5436339556,0.0000000000)	(0.3563660444,0.0000000000)
(-0.5604438901,0.0000000000)	(0.3395561099,0.0000000000)
(-0.5771469772,0.0000000000)	(0.3228530228,0.0000000000)
(-0.5937270578,0.0000000000)	(0.3062729422,0.0000000000)
(-0.6101680917,0.0000000000)	(0.2898319083,0.0000000000)
(-0.6264541734,0.0000000000)	(0.2735458266,0.0000000000)
(-0.6425695471,0.0000000000)	(0.2574304529,0.0000000000)
(-0.6584986221,0.0000000000)	(0.2415013779,0.0000000000)
(-0.6742259882,0.0000000000)	(0.2257740118,0.0000000000)
(-0.6897364302,0.0000000000)	(0.2102635698,0.0000000000)
(-0.7050149426,0.0000000000)	(0.1949850574,0.0000000000)
(-0.7200467445,0.0000000000)	(0.1799532555,0.0000000000)
(-0.7348172937,0.0000000000)	(0.1651827063,0.0000000000)
(-0.7493123005,0.0000000000)	(0.1506876995,0.0000000000)
(-0.7635177420,0.0000000000)	(0.1364822580,0.0000000000)
(-0.7774198754,0.0000000000)	(0.1225801246,0.0000000000)
(-0.7910052511,0.0000000000)	(0.1089947489,0.0000000000)
(-0.8042607263,0.0000000000)	(0.09573927370,0.0000000000)
(-0.8171734771,0.0000000000)	(0.08282652288,0.0000000000)
(-0.8297310113,0.0000000000)	(0.07026898869,0.0000000000)
(-0.8419211803,0.0000000000)	(0.05807881972,0.0000000000)
(-0.8537321908,0.0000000000)	(0.04626780918,0.0000000000)
(-0.8651526165,0.0000000000)	(0.03484738347,0.0000000000)
(-0.8761714089,0.0000000000)	(0.02382859109,0.0000000000)
(-0.8867779080,0.0000000000)	(0.01322209204,0.0000000000)
(-0.8969618526,0.0000000000)	(0.003038147394,0.0000000000)
(-0.9067133905,0.0000000000)	(-0.006713390521,0.0000000000)
(-0.9160230877,0.0000000000)	(-0.01602308773,0.0000000000)
(-0.9248819377,0.0000000000)	(-0.02488193769,0.0000000000)
(-0.9332813701,0.0000000000)	(-0.03328137005,0.0000000000)
(-0.9412132589,0.0000000000)	(-0.04121325890,0.0000000000)
