2
100
-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
-0.7127781101106490919866034327184659946266688287285516987883979339308366324727572169058214760317895373150724861791797131810575905740736429953957430090923348347852235522231710214271501317288414300095740803754499040754415171401943434851530197412456984080906864e-2	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.4811252243246881370909573170849645463730014593917723966821686054033147269191111214114294963214579376876739281709463063972138736374997090218921265311373260134800258977506404394633263389169679652564625042534286852509230240696311818524782883253408464254612133	1
-0.890972637638311364983254290898082493283336035910689623485497417413545790590946521132276845039736921643840607723974641476321988217592053744244678761365418543481529440278963776783937664661051787511967600469312380094301896425242929356441274676557123010113358e-3	0.6481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481e-1	-0.3849001794597505096727658536679716370984011675134179173457348843226517815352888971291435970571663501501391425367570451177710989099997672175137012249098608107840207182005123515706610711335743722051700034027429482007384192557049454819826306602726771403689706	1
